@relation 'training_kayboard-weka.filters.unsupervised.attribute.Remove-R1,4,10,12,15-16'

@attribute PacmanX numeric
@attribute PacmanY numeric
@attribute Ghost2Dist numeric
@attribute Ghost3Dist numeric
@attribute Ghost4Dist numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2Y numeric
@attribute Ghost3Y numeric
@attribute Ghost4X numeric
@attribute Score numeric
@attribute Action {East,North,South,Stop,West}

@data
18,6,-1,-1,14,0,0,0,0,25,543,East
19,6,-1,-1,13,0,0,0,0,25,542,East
20,6,-1,-1,12,0,0,0,0,25,541,East
21,6,-1,-1,11,0,0,0,0,25,540,East
22,6,-1,-1,10,0,0,0,0,25,539,East
23,6,-1,-1,9,0,0,0,0,25,538,North
23,7,-1,-1,8,0,0,0,0,25,537,North
23,8,-1,-1,7,0,0,0,0,25,536,North
23,9,-1,-1,6,0,0,0,0,25,535,North
23,10,-1,-1,5,0,0,0,0,25,534,West
22,10,-1,-1,6,0,0,0,0,25,533,West
21,10,-1,-1,7,0,0,0,0,25,532,West
20,10,-1,-1,8,0,0,0,0,25,531,North
20,11,-1,-1,7,0,0,0,0,25,530,North
20,12,-1,-1,6,0,0,0,0,25,529,North
20,13,-1,-1,5,0,0,0,0,25,528,North
20,14,-1,-1,6,0,0,0,0,25,527,North
20,15,-1,-1,7,0,0,0,0,25,526,East
21,15,-1,-1,6,0,0,0,0,25,525,East
22,15,-1,-1,5,0,0,0,0,25,524,East
23,15,-1,-1,4,0,0,0,0,25,523,East
24,15,-1,-1,3,0,0,0,0,25,522,East
25,15,-1,-1,2,0,0,0,0,25,521,South
25,14,-1,-1,1,0,0,0,0,25,520,South
1,18,25,28,29,5,9,3,6,25,0,Stop
1,18,25,29,29,5,10,3,5,25,-1,South
1,17,23,28,28,5,10,3,5,25,-2,South
1,16,23,26,27,6,10,3,6,25,-3,South
1,15,21,25,25,5,10,3,6,25,-4,South
1,14,19,25,24,4,10,4,5,25,-5,South
1,13,17,25,24,5,10,4,5,25,-6,South
1,12,16,24,26,4,10,4,5,24,-7,South
1,11,14,24,26,5,10,4,4,25,-8,South
1,10,12,23,28,6,10,5,4,24,-9,South
1,9,10,22,28,6,10,6,4,24,-10,South
1,8,8,20,30,5,10,6,5,24,-11,South
1,7,8,18,30,5,9,6,5,25,-12,South
1,6,8,16,32,5,8,5,6,24,-13,East
2,6,7,15,32,4,8,5,6,24,-14,East
3,6,7,13,30,4,8,4,6,25,-15,North
3,7,9,13,30,4,8,4,6,24,-16,East
4,7,7,11,28,4,9,4,6,24,-17,North
4,8,9,13,26,4,9,4,5,24,-18,North
4,9,11,13,25,0,0,4,5,23,181,South
4,8,10,13,27,0,0,4,4,23,180,East
5,8,9,12,26,0,0,4,4,23,179,East
6,8,9,12,24,0,0,3,4,23,178,South
6,7,9,10,24,0,0,3,5,22,177,South
6,6,7,8,24,0,0,4,5,22,176,East
7,6,7,6,24,0,0,3,6,21,175,East
8,6,5,6,24,0,0,4,6,21,174,East
9,6,3,4,22,0,0,4,6,21,173,East
10,6,3,4,21,0,0,4,7,21,172,South
10,5,3,4,23,0,0,3,6,21,171,South
10,4,1,6,24,0,0,3,6,22,170,East
11,4,1,6,22,0,0,3,7,22,169,South
11,3,-1,6,24,0,0,0,6,22,368,Stop
11,3,-1,7,23,0,0,0,6,22,367,North
11,4,-1,7,23,0,0,0,6,22,366,North
11,5,-1,7,21,0,0,0,6,23,365,North
11,6,-1,7,19,0,0,0,5,23,364,North
11,7,-1,8,19,0,0,0,5,23,363,North
11,8,-1,8,18,0,0,0,6,23,362,North
11,9,-1,10,17,0,0,0,5,23,361,North
11,10,-1,12,16,0,0,0,4,23,360,North
11,11,-1,12,16,0,0,0,4,23,359,North
11,12,-1,14,16,0,0,0,3,24,358,East
12,12,-1,12,14,0,0,0,4,24,357,East
13,12,-1,11,13,0,0,0,4,23,356,South
13,11,-1,11,13,0,0,0,4,23,355,South
13,10,-1,9,14,0,0,0,4,22,354,South
13,9,-1,9,14,0,0,0,3,22,353,South
13,8,-1,8,15,0,0,0,3,21,352,South
13,7,-1,6,17,0,0,0,3,21,351,South
13,6,-1,4,17,0,0,0,3,22,350,South
13,5,-1,3,17,0,0,0,3,22,349,South
13,4,-1,3,19,0,0,0,3,22,348,South
13,3,-1,3,20,0,0,0,4,22,347,East
14,3,-1,3,20,0,0,0,4,22,346,East
15,3,-1,1,20,0,0,0,3,23,345,East
16,3,-1,-1,20,0,0,0,0,23,544,North
16,4,-1,-1,19,0,0,0,0,24,543,Stop
16,4,-1,-1,18,0,0,0,0,24,542,East
17,4,-1,-1,16,0,0,0,0,23,541,East
18,4,-1,-1,14,0,0,0,0,22,540,East
19,4,-1,-1,14,0,0,0,0,21,539,East
20,4,-1,-1,14,0,0,0,0,21,538,East
21,4,-1,-1,14,0,0,0,0,21,537,East
22,4,-1,-1,15,0,0,0,0,21,536,East
23,4,-1,-1,16,0,0,0,0,21,535,North
23,5,-1,-1,16,0,0,0,0,21,534,North
23,6,-1,-1,14,0,0,0,0,20,533,North
23,7,-1,-1,12,0,0,0,0,21,532,North
23,8,-1,-1,11,0,0,0,0,22,531,North
23,9,-1,-1,9,0,0,0,0,22,530,North
23,10,-1,-1,8,0,0,0,0,23,529,West
22,10,-1,-1,9,0,0,0,0,23,528,West
21,10,-1,-1,9,0,0,0,0,23,527,West
20,10,-1,-1,9,0,0,0,0,22,526,North
20,11,-1,-1,9,0,0,0,0,21,525,North
20,12,-1,-1,8,0,0,0,0,22,524,North
20,13,-1,-1,8,0,0,0,0,22,523,North
20,14,-1,-1,7,0,0,0,0,23,522,North
20,15,-1,-1,5,0,0,0,0,23,521,North
20,16,-1,-1,5,0,0,0,0,22,520,North
20,17,-1,-1,3,0,0,0,0,23,519,North
20,18,-1,-1,2,0,0,0,0,22,518,East
1,18,25,28,29,5,9,3,6,25,0,Stop
1,18,24,27,29,5,10,4,6,25,-1,Stop
1,18,24,27,28,4,10,4,6,25,-2,South
1,17,22,26,26,3,10,5,6,25,-3,South
1,16,20,25,24,3,10,5,6,25,-4,South
1,15,20,23,22,4,10,5,6,24,-5,South
1,14,18,21,24,4,9,6,6,23,-6,South
1,13,17,19,26,4,9,6,7,24,-7,South
1,12,17,18,27,4,10,5,7,24,-8,South
1,11,15,18,28,5,10,6,6,24,-9,South
1,10,15,17,28,5,10,5,6,24,-10,South
1,9,13,17,30,5,9,5,6,24,-11,South
1,8,11,16,30,5,8,5,6,25,-12,South
1,7,9,16,30,4,8,6,6,25,-13,South
1,6,9,14,32,5,8,5,6,25,-14,East
2,6,7,12,31,5,8,6,6,25,-15,East
3,6,7,12,31,5,8,7,6,25,-16,East
4,6,7,12,29,6,8,7,6,25,-17,North
4,7,7,12,28,5,8,6,6,24,-18,East
5,7,6,11,26,5,9,6,6,24,-19,North
5,8,8,11,24,4,9,5,6,24,-20,North
5,9,10,11,24,0,0,5,6,23,179,North
5,10,12,11,24,0,0,4,7,24,178,East
6,10,12,11,24,0,0,3,6,24,177,South
6,9,10,11,24,0,0,4,6,24,176,South
6,8,8,9,25,0,0,4,6,23,175,South
6,7,8,9,25,0,0,4,5,23,174,South
6,6,8,9,27,0,0,3,5,23,173,East
7,6,6,7,25,0,0,4,6,23,172,East
8,6,4,5,25,0,0,4,6,23,171,East
9,6,3,4,23,0,0,4,6,23,170,South
9,5,3,6,23,0,0,4,7,23,169,South
9,4,1,8,25,0,0,4,7,22,168,East
10,4,-1,6,25,0,0,0,7,23,367,East
11,4,-1,5,24,0,0,0,7,23,366,Stop
11,4,-1,4,23,0,0,0,6,23,365,Stop
11,4,-1,5,24,0,0,0,7,23,364,North
11,5,-1,5,24,0,0,0,8,24,363,North
11,6,-1,3,22,0,0,0,7,25,362,North
11,7,-1,2,22,0,0,0,7,25,361,North
11,8,-1,4,21,0,0,0,6,25,360,North
11,9,-1,6,19,0,0,0,5,25,359,North
11,10,-1,7,17,0,0,0,5,24,358,North
11,11,-1,7,17,0,0,0,6,23,357,North
11,12,-1,9,16,0,0,0,6,23,356,East
12,12,-1,8,15,0,0,0,6,23,355,East
13,12,-1,6,13,0,0,0,6,23,354,South
13,11,-1,4,14,0,0,0,7,22,353,South
13,10,-1,4,14,0,0,0,6,22,352,South
13,9,-1,2,14,0,0,0,7,22,351,South
13,8,-1,-1,15,0,0,0,0,21,550,South
13,7,-1,-1,15,0,0,0,0,21,549,North
13,8,-1,-1,15,0,0,0,0,20,548,North
13,9,-1,-1,14,0,0,0,0,21,547,North
13,10,-1,-1,13,0,0,0,0,21,546,East
14,10,-1,-1,11,0,0,0,0,21,545,East
15,10,-1,-1,10,0,0,0,0,20,544,East
16,10,-1,-1,10,0,0,0,0,20,543,East
17,10,-1,-1,8,0,0,0,0,20,542,East
18,10,-1,-1,6,0,0,0,0,20,541,East
19,10,-1,-1,4,0,0,0,0,20,540,East
20,10,-1,-1,4,0,0,0,0,20,539,North
20,11,-1,-1,2,0,0,0,0,19,538,North
1,18,25,28,29,5,9,3,6,25,0,Stop
1,18,25,29,29,4,9,3,5,25,-1,Stop
1,18,25,28,29,4,8,3,6,25,-2,South
1,17,23,28,27,4,8,3,6,25,-3,South
1,16,21,27,27,4,9,3,6,25,-4,South
1,15,19,27,26,5,9,4,5,25,-5,South
1,14,17,27,25,5,8,4,5,25,-6,South
1,13,17,25,24,5,8,4,6,25,-7,South
1,12,15,25,26,5,7,5,6,25,-8,South
1,11,15,25,26,6,7,4,6,25,-9,South
1,10,14,25,28,6,6,4,6,24,-10,South
1,9,12,23,28,7,6,4,6,24,-11,South
1,8,11,22,29,7,6,4,6,23,-12,South
1,7,9,20,29,8,6,5,6,23,-13,South
1,6,7,18,30,8,7,6,6,22,-14,East
2,6,7,18,28,8,8,7,5,22,-15,East
3,6,7,16,27,9,8,7,5,22,-16,East
4,6,5,16,26,9,9,6,4,22,-17,East
5,6,3,15,25,9,10,6,4,22,-18,East
6,6,2,15,23,10,10,6,3,22,-19,East
7,6,2,14,22,10,10,6,3,22,-20,East
8,6,-1,12,22,10,10,0,3,22,179,East
9,6,-1,12,20,9,10,0,3,23,178,East
10,6,-1,10,20,9,10,0,4,22,177,East
11,6,-1,9,19,9,9,0,4,23,176,Stop
11,6,-1,10,20,10,9,0,4,23,175,North
11,7,-1,12,20,10,10,0,3,23,174,North
11,8,-1,14,18,11,10,0,3,23,173,North
11,9,-1,14,18,0,0,0,3,22,372,North
11,10,-1,14,17,0,0,0,3,23,371,North
11,11,-1,15,17,0,0,0,3,23,370,North
11,12,-1,16,15,0,0,0,3,24,369,East
12,12,-1,16,13,0,0,0,3,24,368,East
13,12,-1,14,11,0,0,0,4,23,367,South
13,11,-1,12,11,0,0,0,4,22,366,South
13,10,-1,10,13,0,0,0,5,22,365,South
13,9,-1,8,13,0,0,0,6,23,364,South
13,8,-1,8,15,0,0,0,6,22,363,South
13,7,-1,8,17,0,0,0,6,23,362,South
13,6,-1,8,19,0,0,0,6,23,361,East
14,6,-1,7,19,0,0,0,6,24,360,East
15,6,-1,7,17,0,0,0,6,24,359,East
16,6,-1,5,17,0,0,0,6,23,358,East
17,6,-1,4,15,0,0,0,6,24,357,East
18,6,-1,4,14,0,0,0,6,24,356,East
19,6,-1,3,12,0,0,0,6,24,355,East
20,6,-1,2,10,0,0,0,6,23,354,East
21,6,-1,1,10,0,0,0,6,23,353,East
22,6,-1,-1,8,0,0,0,0,23,552,East
23,6,-1,-1,10,0,0,0,0,22,551,North
23,7,-1,-1,10,0,0,0,0,22,550,North
23,8,-1,-1,8,0,0,0,0,22,549,North
23,9,-1,-1,6,0,0,0,0,23,548,North
23,10,-1,-1,4,0,0,0,0,23,547,West
22,10,-1,-1,4,0,0,0,0,23,546,West
21,10,-1,-1,6,0,0,0,0,22,545,West
20,10,-1,-1,6,0,0,0,0,23,544,North
20,11,-1,-1,6,0,0,0,0,22,543,North
20,12,-1,-1,4,0,0,0,0,22,542,North
20,13,-1,-1,3,0,0,0,0,22,541,North
20,14,-1,-1,3,0,0,0,0,22,540,North
20,15,-1,-1,3,0,0,0,0,23,539,East
21,15,-1,-1,3,0,0,0,0,23,538,East
22,15,-1,-1,1,0,0,0,0,23,537,East
4,12,12,15,21,9,3,7,12,22,0,Stop
4,12,12,15,21,9,3,7,12,22,-1,Stop
4,12,12,15,21,9,3,7,12,22,-2,East
5,12,11,14,20,9,3,7,12,22,-3,East
6,12,10,13,19,9,3,7,12,22,-4,South
6,11,9,14,18,9,3,7,12,22,95,South
6,10,8,15,17,9,3,7,12,22,194,East
7,10,7,14,16,9,3,7,12,22,293,South
7,9,6,15,15,9,3,7,12,22,392,South
7,8,5,16,16,9,3,7,12,22,491,South
7,7,4,17,17,9,3,7,12,22,590,South
7,6,5,18,18,9,3,7,12,22,689,South
7,5,6,19,19,9,3,7,12,22,788,South
7,4,7,20,20,9,3,7,12,22,887,South
7,3,8,21,21,9,3,7,12,22,986,East
8,3,7,20,20,9,3,7,12,22,1085,East
9,3,6,19,19,0,0,7,12,22,1284,East
10,3,5,18,18,0,0,7,12,22,1383,North
10,4,4,17,17,0,0,7,12,22,1482,North
10,5,3,16,16,0,0,7,12,22,1581,North
10,6,2,15,15,0,0,7,12,22,1680,North
10,7,1,14,14,0,0,7,12,22,1779,East
11,7,-1,13,13,0,0,0,12,22,1978,East
12,7,-1,12,12,0,0,0,12,22,2077,East
13,7,-1,11,11,0,0,0,12,22,2076,East
14,7,-1,10,10,0,0,0,12,22,2075,East
15,7,-1,9,9,0,0,0,12,22,2174,East
16,7,-1,8,8,0,0,0,12,22,2273,East
17,7,-1,7,7,0,0,0,12,22,2372,North
17,8,-1,6,6,0,0,0,12,22,2471,North
17,9,-1,5,5,0,0,0,12,22,2570,East
18,9,-1,4,4,0,0,0,12,22,2669,East
19,9,-1,3,3,0,0,0,12,22,2768,East
20,9,-1,4,2,0,0,0,12,22,2867,East
21,9,-1,5,1,0,0,0,12,22,2866,East
22,9,-1,6,-1,0,0,0,12,0,3065,North
22,10,-1,5,-1,0,0,0,12,0,3164,North
22,11,-1,4,-1,0,0,0,12,0,3263,West
21,11,-1,3,-1,0,0,0,12,0,3362,West
20,11,-1,2,-1,0,0,0,12,0,3461,North
20,12,-1,1,-1,0,0,0,12,0,3560,West
4,12,12,15,21,9,3,7,12,22,0,Stop
4,12,11,14,22,9,4,8,12,22,-1,East
5,12,10,14,20,9,3,8,11,23,-2,East
6,12,8,12,18,8,3,8,12,23,-3,South
6,11,6,13,16,8,4,9,12,22,96,South
6,10,5,13,17,7,4,9,11,22,195,East
7,10,3,13,16,8,4,9,12,22,294,South
7,9,3,13,17,8,3,9,12,22,393,South
7,8,5,15,17,9,3,10,12,22,492,South
7,7,7,15,17,9,3,10,12,22,591,South
7,6,9,16,17,9,4,11,12,21,690,South
7,5,11,16,17,9,4,12,12,20,789,South
7,4,12,16,19,10,4,12,11,20,888,East
8,4,10,15,17,10,3,12,11,20,887,East
9,4,9,13,15,10,3,12,10,19,886,East
10,4,8,12,15,10,3,12,10,19,985,East
11,4,10,10,15,9,3,12,9,19,1084,South
11,3,10,12,15,10,3,11,9,20,1083,West
10,3,8,14,17,0,0,10,9,20,1382,North
10,4,6,12,17,0,0,9,9,21,1381,North
10,5,4,12,17,0,0,8,10,22,1480,North
10,6,2,12,17,0,0,7,10,23,1579,North
10,7,2,10,17,0,0,6,9,23,1678,West
9,7,-1,12,17,0,0,0,10,23,1877,East
10,7,-1,12,15,0,0,0,10,23,1876,East
11,7,-1,10,13,0,0,0,9,22,1875,East
12,7,-1,10,13,0,0,0,9,22,1974,East
13,7,-1,10,11,0,0,0,10,23,1973,East
14,7,-1,9,11,0,0,0,10,22,1972,East
15,7,-1,9,10,0,0,0,10,22,2071,East
16,7,-1,8,10,0,0,0,10,22,2170,East
17,7,-1,8,8,0,0,0,11,23,2269,North
17,8,-1,6,6,0,0,0,11,22,2368,North
17,9,-1,6,5,0,0,0,12,22,2467,East
18,9,-1,4,4,0,0,0,12,22,2566,East
19,9,-1,4,4,0,0,0,12,22,2665,East
20,9,-1,5,2,0,0,0,12,23,2764,East
21,9,-1,6,2,0,0,0,12,22,2763,East
