@relation training_kayboard

@attribute NumOfTicks numeric
@attribute PacmanX numeric
@attribute PacmanY numeric
@attribute Ghost1Dist numeric
@attribute Ghost2Dist numeric
@attribute Ghost3Dist numeric
@attribute Ghost4Dist numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2X numeric
@attribute Ghost2Y numeric
@attribute Ghost3X numeric
@attribute Ghost3Y numeric
@attribute Ghost4X numeric
@attribute Ghost4Y numeric
@attribute PacDots numeric
@attribute Score numeric
@attribute Action {'East','North','South','Stop','West'}
@attribute NextScore numeric
@data
19,4,8,1,9,13,26,4,9,9,4,14,5,24,15,0,-18,'North',181
20,4,9,-1,11,13,25,0,0,10,4,13,5,23,15,0,181,'South',180
21,4,8,-1,10,13,27,0,0,10,4,13,4,23,15,0,180,'East',179
22,5,8,-1,9,12,26,0,0,10,4,13,4,23,16,0,179,'East',178
23,6,8,-1,9,12,24,0,0,10,3,14,4,23,16,0,178,'South',177
24,6,7,-1,9,10,24,0,0,11,3,14,5,22,16,0,177,'South',176
25,6,6,-1,7,8,24,0,0,11,4,13,5,22,15,0,176,'East',175
26,7,6,-1,7,6,24,0,0,11,3,13,6,21,15,0,175,'East',174
27,8,6,-1,5,6,24,0,0,11,4,14,6,21,16,0,174,'East',173
28,9,6,-1,3,4,22,0,0,10,4,13,6,21,17,0,173,'East',172
29,10,6,-1,3,4,21,0,0,11,4,13,7,21,16,0,172,'South',171
30,10,5,-1,3,4,23,0,0,11,3,13,6,21,16,0,171,'South',170
31,10,4,-1,1,6,24,0,0,10,3,14,6,22,16,0,170,'East',169
32,11,4,-1,1,6,22,0,0,11,3,14,7,22,16,0,169,'South',368
33,11,3,-1,-1,6,24,0,0,0,0,14,6,22,15,0,368,'Stop',367
34,11,3,-1,-1,7,23,0,0,0,0,15,6,22,16,0,367,'North',366
35,11,4,-1,-1,7,23,0,0,0,0,16,6,22,15,0,366,'North',365
36,11,5,-1,-1,7,21,0,0,0,0,17,6,23,15,0,365,'North',364
37,11,6,-1,-1,7,19,0,0,0,0,17,5,23,14,0,364,'North',363
38,11,7,-1,-1,8,19,0,0,0,0,17,5,23,13,0,363,'North',362
39,11,8,-1,-1,8,18,0,0,0,0,17,6,23,14,0,362,'North',361
40,11,9,-1,-1,10,17,0,0,0,0,17,5,23,14,0,361,'North',360
41,11,10,-1,-1,12,16,0,0,0,0,17,4,23,14,0,360,'North',359
42,11,11,-1,-1,12,16,0,0,0,0,16,4,23,14,0,359,'North',358
43,11,12,-1,-1,14,16,0,0,0,0,16,3,24,14,0,358,'East',357
44,12,12,-1,-1,12,14,0,0,0,0,16,4,24,15,0,357,'East',356
45,13,12,-1,-1,11,13,0,0,0,0,16,4,23,15,0,356,'South',355
46,13,11,-1,-1,11,13,0,0,0,0,17,4,23,15,0,355,'South',354
47,13,10,-1,-1,9,14,0,0,0,0,16,4,22,15,0,354,'South',353
48,13,9,-1,-1,9,14,0,0,0,0,16,3,22,15,0,353,'South',352
49,13,8,-1,-1,8,15,0,0,0,0,16,3,21,15,0,352,'South',351
50,13,7,-1,-1,6,17,0,0,0,0,15,3,21,15,0,351,'South',350
51,13,6,-1,-1,4,17,0,0,0,0,14,3,22,15,0,350,'South',349
52,13,5,-1,-1,3,17,0,0,0,0,14,3,22,14,0,349,'South',348
53,13,4,-1,-1,3,19,0,0,0,0,15,3,22,13,0,348,'South',347
54,13,3,-1,-1,3,20,0,0,0,0,15,4,22,14,0,347,'East',346
55,14,3,-1,-1,3,20,0,0,0,0,16,4,22,14,0,346,'East',345
56,15,3,-1,-1,1,20,0,0,0,0,16,3,23,14,0,345,'East',544
57,16,3,-1,-1,-1,20,0,0,0,0,0,0,23,15,0,544,'North',543
58,16,4,-1,-1,-1,19,0,0,0,0,0,0,24,15,0,543,'Stop',542
59,16,4,-1,-1,-1,18,0,0,0,0,0,0,24,15,0,542,'East',541
60,17,4,-1,-1,-1,16,0,0,0,0,0,0,23,15,0,541,'East',540
61,18,4,-1,-1,-1,14,0,0,0,0,0,0,22,15,0,540,'East',539
62,19,4,-1,-1,-1,14,0,0,0,0,0,0,21,15,0,539,'East',538
63,20,4,-1,-1,-1,14,0,0,0,0,0,0,21,16,0,538,'East',537
64,21,4,-1,-1,-1,14,0,0,0,0,0,0,21,17,0,537,'East',536
65,22,4,-1,-1,-1,15,0,0,0,0,0,0,21,18,0,536,'East',535
66,23,4,-1,-1,-1,16,0,0,0,0,0,0,21,18,0,535,'North',534
67,23,5,-1,-1,-1,16,0,0,0,0,0,0,21,18,0,534,'North',533
68,23,6,-1,-1,-1,14,0,0,0,0,0,0,20,18,0,533,'North',532
69,23,7,-1,-1,-1,12,0,0,0,0,0,0,21,18,0,532,'North',531
70,23,8,-1,-1,-1,11,0,0,0,0,0,0,22,18,0,531,'North',530
71,23,9,-1,-1,-1,9,0,0,0,0,0,0,22,18,0,530,'North',529
72,23,10,-1,-1,-1,8,0,0,0,0,0,0,23,18,0,529,'West',528
73,22,10,-1,-1,-1,9,0,0,0,0,0,0,23,18,0,528,'West',527
74,21,10,-1,-1,-1,9,0,0,0,0,0,0,23,18,0,527,'West',526
75,20,10,-1,-1,-1,9,0,0,0,0,0,0,22,18,0,526,'North',525
76,20,11,-1,-1,-1,9,0,0,0,0,0,0,21,18,0,525,'North',524
77,20,12,-1,-1,-1,8,0,0,0,0,0,0,22,18,0,524,'North',523
78,20,13,-1,-1,-1,8,0,0,0,0,0,0,22,18,0,523,'North',522
79,20,14,-1,-1,-1,7,0,0,0,0,0,0,23,18,0,522,'North',521
80,20,15,-1,-1,-1,5,0,0,0,0,0,0,23,18,0,521,'North',520
81,20,16,-1,-1,-1,5,0,0,0,0,0,0,22,18,0,520,'North',519
82,20,17,-1,-1,-1,3,0,0,0,0,0,0,23,18,0,519,'North',518
83,20,18,-1,-1,-1,2,0,0,0,0,0,0,22,18,0,518,'East',0
1,1,18,13,25,28,29,5,9,11,3,17,6,25,13,0,0,'Stop',-1
2,1,18,12,24,27,29,5,10,11,4,16,6,25,13,0,-1,'Stop',-2
3,1,18,11,24,27,28,4,10,11,4,16,6,25,13,0,-2,'South',-3
4,1,17,9,22,26,26,3,10,11,5,16,6,25,14,0,-3,'South',-4
5,1,16,8,20,25,24,3,10,10,5,16,6,25,15,0,-4,'South',-5
6,1,15,8,20,23,22,4,10,11,5,15,6,24,15,0,-5,'South',-6
7,1,14,8,18,21,24,4,9,11,6,14,6,23,15,0,-6,'South',-7
8,1,13,7,17,19,26,4,9,11,6,14,7,24,15,0,-7,'South',-8
9,1,12,5,17,18,27,4,10,11,5,14,7,24,16,0,-8,'South',-9
10,1,11,5,15,18,28,5,10,11,6,14,6,24,16,0,-9,'South',-10
