@relation 'training_tutorial1-weka.filters.unsupervised.attribute.Remove-V-R2-3,8-9,11,13,16-18'

@attribute PacmanX numeric
@attribute PacmanY numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2Y numeric
@attribute Ghost3Y numeric
@attribute PacDots numeric
@attribute Score numeric
@attribute Action {East,North,South,West}

@data
8,12,9,3,7,12,119,196,East
8,12,9,3,10,11,119,196,East
8,12,11,3,7,11,119,196,East
8,12,8,3,8,11,119,196,East
22,4,0,0,0,3,0,333,East
23,4,0,0,0,3,0,334,West
24,4,0,0,0,3,0,335,West
23,4,0,0,0,3,0,336,East
22,4,0,0,0,3,0,337,East
21,4,0,0,0,3,0,338,East
22,4,0,0,0,3,0,339,West
23,4,0,0,0,3,0,340,West
23,5,0,0,0,3,0,341,South
23,6,0,0,0,3,0,342,South
23,7,0,0,0,4,0,343,South
23,8,0,0,0,4,0,344,South
23,15,0,0,0,4,0,345,South
24,8,0,0,0,4,0,345,West
22,15,0,0,0,4,0,346,East
23,8,0,0,0,4,0,346,East
21,15,0,0,0,4,0,347,East
23,9,0,0,0,4,0,347,South
20,15,0,0,0,3,0,348,East
23,10,0,0,0,3,0,348,South
20,14,0,0,0,3,0,349,North
24,10,0,0,0,3,0,349,West
15,6,0,0,0,6,0,350,East
20,13,0,0,0,4,0,350,North
15,6,0,0,0,6,0,350,East
23,10,0,0,0,3,0,350,East
14,6,0,0,0,6,0,351,East
20,12,0,0,0,3,0,351,North
18,6,0,0,0,4,0,351,East
14,6,0,0,0,6,0,351,East
22,6,0,0,0,6,0,351,East
24,10,0,0,0,3,0,351,West
14,7,0,0,0,6,0,352,South
19,12,0,0,0,3,0,352,East
17,6,0,0,0,4,0,352,East
14,7,0,0,0,6,0,352,South
21,6,0,0,0,6,0,352,East
23,10,0,0,0,4,0,352,East
14,8,0,0,0,6,0,353,South
18,12,0,0,0,3,0,353,East
16,6,0,0,0,3,0,353,East
14,8,0,0,0,6,0,353,South
20,6,0,0,0,6,0,353,East
22,10,0,0,0,4,0,353,East
14,9,0,0,0,6,0,354,South
17,12,0,0,0,3,0,354,East
15,6,0,0,0,3,0,354,East
14,9,0,0,0,6,0,354,South
19,6,0,0,0,5,0,354,East
21,10,0,0,0,4,0,354,East
14,10,0,0,0,6,0,355,South
16,12,0,0,0,3,0,355,East
14,6,0,0,0,4,0,355,East
14,10,0,0,0,6,0,355,South
18,6,0,0,0,6,0,355,East
14,6,0,0,0,6,0,355,East
20,10,0,0,0,3,0,355,East
14,11,0,0,0,6,0,356,South
15,12,0,0,0,3,0,356,East
14,7,0,0,0,4,0,356,South
14,11,0,0,0,6,0,356,South
17,6,0,0,0,6,0,356,East
14,7,0,0,0,6,0,356,South
20,11,0,0,0,4,0,356,South
14,12,0,0,0,6,0,357,South
14,12,0,0,0,3,0,357,East
14,8,0,0,0,5,0,357,South
14,12,0,0,0,6,0,357,South
16,6,0,0,0,6,0,357,East
14,8,0,0,0,6,0,357,South
20,12,0,0,0,4,0,357,South
13,12,0,0,0,6,0,358,East
13,12,0,0,0,4,0,358,East
14,9,0,0,0,5,0,358,South
13,12,0,0,0,6,0,358,East
14,9,0,0,0,6,0,358,South
15,6,0,0,0,6,0,358,East
14,9,0,0,0,6,0,358,South
19,12,0,0,0,3,0,358,East
12,12,0,0,0,6,0,359,East
12,12,0,0,0,5,0,359,East
14,10,0,0,0,6,0,359,South
12,12,0,0,0,6,0,359,East
14,10,0,0,0,6,0,359,South
14,6,0,0,0,6,0,359,East
14,10,0,0,0,6,0,359,South
18,12,0,0,0,4,0,359,East
11,12,0,0,0,6,0,360,East
11,12,0,0,0,6,0,360,East
14,11,0,0,0,6,0,360,South
11,12,0,0,0,6,0,360,East
14,11,0,0,0,7,0,360,South
14,7,0,0,0,6,0,360,South
14,11,0,0,0,6,0,360,South
17,12,0,0,0,5,0,360,East
11,11,0,0,0,6,0,361,North
11,11,0,0,0,5,0,361,North
14,12,0,0,0,6,0,361,South
11,11,0,0,0,6,0,361,North
14,12,0,0,0,8,0,361,South
14,8,0,0,0,6,0,361,South
14,12,0,0,0,6,0,361,South
16,12,0,0,0,5,0,361,East
11,10,0,0,0,6,0,362,North
11,10,0,0,0,5,0,362,North
13,12,0,0,0,5,0,362,East
11,10,0,0,0,6,0,362,North
13,12,0,0,0,8,0,362,East
14,9,0,0,0,6,0,362,South
13,12,0,0,0,6,0,362,East
15,12,0,0,0,5,0,362,East
11,9,0,0,0,6,0,363,North
11,9,0,0,0,5,0,363,North
12,12,0,0,0,5,0,363,East
11,9,0,0,0,6,0,363,North
12,12,0,0,0,8,0,363,East
14,10,0,0,0,6,0,363,South
12,12,0,0,0,6,0,363,East
14,12,0,0,0,4,0,363,East
11,8,0,0,0,6,0,364,North
11,8,0,0,0,6,0,364,North
11,12,0,0,0,5,0,364,East
11,8,0,0,0,6,0,364,North
11,12,0,0,0,8,0,364,East
14,11,0,0,0,6,0,364,South
11,12,0,0,0,6,0,364,East
13,12,0,0,0,4,0,364,East
11,7,0,0,0,6,0,365,North
11,7,0,0,0,6,0,365,North
11,11,0,0,0,6,0,365,North
13,15,0,0,22,0,0,365,East
11,7,0,0,0,6,0,365,North
11,11,0,0,0,7,0,365,North
14,12,0,0,0,6,0,365,South
11,11,0,0,0,6,0,365,North
12,12,0,0,0,4,0,365,East
11,6,0,0,0,6,0,366,North
11,6,0,0,0,7,0,366,North
10,11,0,0,0,6,0,366,East
13,12,0,0,0,8,0,366,South
12,15,0,0,21,0,0,366,East
11,6,0,0,0,6,0,366,North
11,10,0,0,0,7,0,366,North
13,12,0,0,0,5,0,366,East
11,10,0,0,0,6,0,366,North
11,12,0,0,0,4,0,366,East
11,5,0,0,0,6,0,367,North
11,5,0,0,0,6,0,367,North
9,11,0,0,0,6,0,367,East
12,12,0,0,0,8,0,367,East
11,15,0,0,21,0,0,367,East
11,5,0,0,0,6,0,367,North
11,9,0,0,0,8,0,367,North
12,12,0,0,0,4,0,367,East
11,9,0,0,0,5,0,367,North
11,11,0,0,0,4,0,367,North
11,4,0,0,0,6,0,368,North
11,6,0,0,5,6,0,168,South
8,11,0,0,0,6,0,368,East
11,12,0,0,0,7,0,368,East
12,15,10,15,0,0,0,368,West
12,15,0,0,21,15,0,168,West
11,4,0,0,0,6,0,368,North
11,8,0,0,0,7,0,368,North
11,12,0,0,0,4,0,368,East
11,8,0,0,0,4,0,368,North
11,10,0,0,0,3,0,368,North
11,3,0,0,0,6,0,369,North
8,10,0,0,11,5,0,169,North
11,11,0,0,0,8,0,369,North
13,15,10,15,0,0,0,369,West
13,15,11,15,0,0,0,369,West
11,3,0,0,0,6,0,369,North
11,7,0,0,0,6,0,369,North
11,11,0,0,0,3,0,369,North
11,7,0,0,0,3,0,369,North
11,9,0,0,0,3,0,369,North
11,4,0,0,3,6,0,170,South
11,10,0,0,0,8,0,370,North
14,15,10,15,15,0,0,170,West
13,16,11,15,0,15,0,170,South
13,16,0,0,15,18,0,170,South
11,4,0,0,3,6,0,170,South
11,6,0,0,0,6,0,370,North
11,10,0,0,0,3,0,370,North
11,6,0,0,0,4,0,370,North
11,8,0,0,0,4,0,370,North
11,9,0,0,0,8,0,371,North
11,5,0,0,0,7,0,371,North
11,9,0,0,0,3,0,371,North
11,5,0,0,0,4,0,371,North
11,7,0,0,0,4,0,371,North
11,8,0,0,0,7,0,372,North
11,4,0,0,0,7,0,372,North
11,8,0,0,0,3,0,372,North
10,5,0,0,0,4,0,372,East
11,6,0,0,0,4,0,372,North
11,7,0,0,0,6,0,373,North
10,4,0,0,0,6,0,373,East
10,8,0,0,0,3,0,373,East
10,6,0,0,4,4,0,173,South
11,5,0,0,0,4,0,373,North
11,6,0,0,0,6,0,374,North
11,4,0,0,3,6,0,174,West
9,8,0,0,0,3,0,374,East
11,4,0,0,0,4,0,374,North
10,6,0,0,0,5,0,375,East
8,8,0,0,0,4,0,375,East
10,4,0,0,0,4,0,375,East
9,6,0,0,5,5,0,176,East
8,7,0,0,8,4,0,176,North
10,5,0,0,4,3,0,176,South
5,6,6,5,11,0,1,381,East
11,11,5,5,0,8,1,382,South
6,6,5,5,12,0,1,382,West
11,12,4,5,0,8,1,383,South
7,6,6,5,12,0,1,383,West
5,7,3,6,12,0,1,384,West
10,12,5,5,0,9,1,384,East
8,6,6,5,13,0,1,384,West
7,6,5,6,12,0,1,385,West
6,7,3,5,12,0,1,385,West
11,12,4,5,0,9,1,385,West
9,6,5,5,12,0,1,385,West
8,6,5,6,12,0,1,386,West
7,7,3,5,12,0,1,386,West
10,12,4,6,0,9,1,386,East
10,6,5,6,11,0,1,386,West
9,6,5,6,12,0,1,387,West
8,7,4,5,12,0,1,387,West
11,12,3,6,0,9,1,387,West
11,6,6,6,11,0,1,387,West
10,6,5,6,12,0,1,388,West
9,7,5,5,12,0,1,388,West
11,13,4,6,0,9,1,388,South
12,6,6,7,11,0,1,388,West
11,6,5,6,12,0,1,389,West
10,7,5,4,12,0,1,389,West
10,13,3,6,0,8,1,389,East
12,7,6,8,11,6,1,189,South
12,6,5,6,12,0,1,390,West
11,7,5,5,13,0,1,390,West
9,13,3,6,0,7,1,390,East
13,6,5,6,12,0,1,391,West
12,7,5,4,12,0,1,391,West
8,13,3,7,0,7,1,391,East
13,7,5,6,12,6,1,192,South
13,7,6,4,13,0,1,392,West
8,12,4,7,14,6,1,192,North
14,7,6,4,13,0,1,393,West
9,10,11,3,8,11,118,293,South
14,8,6,5,14,7,1,194,South
10,12,9,3,7,12,117,394,East
10,12,11,3,5,11,117,394,East
9,12,9,3,7,12,118,295,East
9,12,8,3,10,11,118,295,East
9,12,11,4,6,11,118,295,East
11,12,9,3,7,12,117,393,South
11,12,12,3,6,11,117,393,South
10,12,9,3,9,11,117,394,South
17,6,0,0,0,4,0,522,South
18,6,0,0,0,3,0,523,West
19,6,0,0,0,3,0,524,West
25,15,0,0,0,0,0,525,South
20,6,0,0,0,4,0,525,West
24,15,0,0,0,0,0,526,East
21,6,0,0,0,5,0,526,West
23,15,0,0,0,0,0,527,East
22,6,0,0,0,5,0,527,West
25,15,0,0,0,0,0,527,West
22,15,0,0,0,0,0,528,East
23,6,0,0,0,4,0,528,West
24,15,0,0,0,0,0,528,East
25,4,0,0,0,0,0,528,East
21,15,0,0,0,0,0,529,East
23,7,0,0,0,3,0,529,South
23,15,0,0,0,0,0,529,East
25,3,0,0,0,0,0,529,North
20,15,0,0,0,0,0,530,East
23,8,0,0,0,3,0,530,South
22,15,0,0,0,0,0,530,East
24,3,0,0,0,0,0,530,East
20,14,0,0,0,0,0,531,North
